# swarm-d64 chain: k=6, D=7, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_d64=0.6526955270  pop=100
# p=1 gen  2: best_d64=0.6526955270  pop=100
# p=1 gen  3: best_d64=0.6526955270  pop=100
# p=1 gen  4: best_d64=0.6526955270  pop=100
# p=1 gen  4: best_d64=0.6526955270  pop=-1
6,7,1,0.652695526988,5561,5.3,3.5916642468077327,1.3946965568580345
# p=2 gen  1: best_d64=0.7095635623  pop=100
# p=2 gen  2: best_d64=0.7095635623  pop=100
# p=2 gen  3: best_d64=0.7095635623  pop=100
# p=2 gen  4: best_d64=0.7095635623  pop=100
# p=2 gen  4: best_d64=0.7095635623  pop=-1
6,7,2,0.709563562343,10511,0.9,3.5000682805627923;3.6647236201636533,1.3753744953457168;1.7025056099759248
# p=3 gen  1: best_d64=0.7443808692  pop=100
# p=3 gen  2: best_d64=0.7443808692  pop=100
# p=3 gen  3: best_d64=0.7443808692  pop=100
# p=3 gen  4: best_d64=0.7443808692  pop=100
# p=3 gen  4: best_d64=0.7443808692  pop=-1
6,7,3,0.744380869194,14145,2.2,5.967301339019954;5.821466530431259;5.780023813203595,1.3748427328763104;2.9792856151965856;3.0291257675195404
# p=4 gen  1: best_d64=0.7680942431  pop=100
# p=4 gen  2: best_d64=0.7680942431  pop=100
# p=4 gen  3: best_d64=0.7680942431  pop=100
# p=4 gen  4: best_d64=0.7680942431  pop=100
# p=4 gen  4: best_d64=0.7680942431  pop=-1
6,7,4,0.768094243107,16752,9.1,5.992056994285144;5.858987320299657;5.833145789300854;5.7924139051167645,1.3786342092988333;2.976964922929002;2.9895387413884147;3.0419339562867944
# p=5 gen  1: best_d64=0.7855598781  pop=100
# p=5 gen  2: best_d64=0.7855598781  pop=100
# p=5 gen  3: best_d64=0.7855598781  pop=100
# p=5 gen  4: best_d64=0.7855598781  pop=100
# p=5 gen  4: best_d64=0.7855598781  pop=-1
6,7,5,0.785559878081,18946,44.7,6.008916204279446;5.881082197054229;5.866978037027024;5.845136522013441;5.8014027791545555,1.3821464611374883;2.97898841677503;2.984871629113302;2.996025636255875;3.051487902309015
# p=6 gen  1: best_d64=0.7990280382  pop=100
# p=6 gen  2: best_d64=0.7990280383  pop=100
# p=6 gen  3: best_d64=0.7990280384  pop=100
# p=6 gen  4: best_d64=0.7990280384  pop=100
# p=6 gen  4: best_d64=0.7990280384  pop=-1
6,7,6,0.799028038399,19478,227.8,6.020911071359044;5.896835679455803;5.886724896063178;5.878936166898882;5.855936685929402;5.80781341746101,1.3852160445613677;2.9821526329676478;2.9852048844782417;2.988888798529412;3.0014963189633956;3.0591634440593447
# p=7 gen  1: best_d64=0.8097431499  pop=100
# p=7 gen  2: best_d64=0.8097432072  pop=100
# p=7 gen  3: best_d64=0.8097432072  pop=100
# p=7 gen  4: best_d64=0.8097432072  pop=100
