# swarm-d64 chain: k=5, D=8, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_d64=0.6362805163  pop=100
# p=1 gen  2: best_d64=0.6362805163  pop=100
# p=1 gen  3: best_d64=0.6362805163  pop=100
# p=1 gen  4: best_d64=0.6362805163  pop=100
# p=1 gen  4: best_d64=0.6362805163  pop=-1
5,8,1,0.636280516324,5138,5.3,5.874384083612015,1.771212691793534
# p=2 gen  1: best_d64=0.6874090294  pop=100
# p=2 gen  2: best_d64=0.6874090294  pop=100
# p=2 gen  3: best_d64=0.6874090294  pop=100
# p=2 gen  4: best_d64=0.6874090294  pop=100
# p=2 gen  4: best_d64=0.6874090294  pop=-1
5,8,2,0.687409029389,10492,0.9,0.32093271851654226;2.6592649183391686,1.3437475783424522;2.993008214682466
# p=3 gen  1: best_d64=0.7189811354  pop=100
# p=3 gen  2: best_d64=0.7189811354  pop=100
# p=3 gen  3: best_d64=0.7189811354  pop=100
# p=3 gen  4: best_d64=0.7189811354  pop=100
# p=3 gen  4: best_d64=0.7189811354  pop=-1
5,8,3,0.718981135448,14079,2.1,2.8612405507982306;3.563699598510278;5.818437295830123,1.3398964041117654;1.3854002530387017;3.0160532568842364
# p=4 gen  1: best_d64=0.7406690091  pop=100
# p=4 gen  2: best_d64=0.7406690091  pop=100
# p=4 gen  3: best_d64=0.7406690091  pop=100
# p=4 gen  4: best_d64=0.7406690091  pop=100
# p=4 gen  4: best_d64=0.7406690091  pop=-1
5,8,4,0.740669009086,17753,8.9,2.885069796987;3.5276329393861467;5.869339629524998;5.828890385519163,1.3423554389138075;1.3797692961821568;2.970677813426881;3.031286667526462
# p=5 gen  1: best_d64=0.7567938634  pop=100
# p=5 gen  2: best_d64=0.7567938634  pop=100
# p=5 gen  3: best_d64=0.7567938634  pop=100
# p=5 gen  4: best_d64=0.7567938634  pop=100
# p=5 gen  4: best_d64=0.7567938634  pop=-1
5,8,5,0.756793863381,17512,42.0,2.9013632947128842;3.506023413130886;5.901839172321893;5.878131048572385;5.836208754966479,1.3450773958276387;1.3803579815899487;2.9625137023021613;2.979812907611488;3.0425463293852366
# p=6 gen  1: best_d64=0.7693193410  pop=100
# p=6 gen  2: best_d64=0.7693193410  pop=100
# p=6 gen  3: best_d64=0.7693193410  pop=100
# p=6 gen  4: best_d64=0.7693193410  pop=100
# p=6 gen  4: best_d64=0.7693193410  pop=-1
5,8,6,0.769319340991,19386,226.8,2.913023365078113;3.490470883430964;5.92115749611341;5.910597824190869;5.886181163953545;5.841257092169257,1.347753523526235;1.382864137947582;2.9613358523234674;2.96884987351226;2.9872481399271775;3.0514773275787834
# p=7 gen  1: best_d64=0.7793570382  pop=100
# p=7 gen  2: best_d64=0.7793570383  pop=100
# p=7 gen  3: best_d64=0.7793570384  pop=100
# p=7 gen  4: best_d64=0.7793570384  pop=100
# p=7 gen  4: best_d64=0.7793570384  pop=-1
5,8,7,0.779357038377,19898,979.5,2.921917704420001;3.4785186008121585;5.934588829613785;5.92915850838401;5.919792443240726;5.8922459294228675;5.84467445075397,1.350320548020794;1.385643910834852;2.9627536179486684;2.965690668726452;2.97358234340996;2.993915226883814;3.058762702617394
# p=8 gen  1: best_d64=0.7875958441  pop=100
# p=8 gen  2: best_d64=0.7875958513  pop=100
# p=8 gen  3: best_d64=0.7875958513  pop=100
# p=8 gen  4: best_d64=0.7875958513  pop=100
# p=8 gen  5: best_d64=0.7875958513  pop=100
# p=8 gen  5: best_d64=0.7875958513  pop=-1
5,8,8,0.787595851288,20734,4863.9,2.9289592990610274;3.468967113639856;5.9447996996579215;5.9418769737784825;5.938402875536032;5.927395936154293;5.896565641677474;5.846981585013371,1.3526909410144052;1.3883809648909646;2.964973899144569;2.965933135953796;2.968484283460251;2.977805421286638;3.0000660476402015;3.064840336636705
# p=9 gen  1: best_d64=0.7944867153  pop=100
# p=9 gen  2: best_d64=0.7944867648  pop=100
# p=9 gen  3: best_d64=0.7944867648  pop=100
# p=9 gen  4: best_d64=0.7944867648  pop=100
# p=9 gen  5: best_d64=0.7944867648  pop=100
# p=9 gen  5: best_d64=0.7944867648  pop=-1
5,8,9,0.794486764836,21371,23884.8,2.934693872680561;3.461074829247558;5.9529395712698445;5.951334531178426;5.95099637428788;5.946424553137438;5.933337869251306;5.899475639877862;5.848481506417136,1.3548609791274404;1.3909585046518815;2.9673643975267616;2.967434989651472;2.9676131645395145;2.9708627873355438;2.981835357431433;3.005808931589289;3.0700258759006847
# p=10 gen  1: best_d64=0.8003402502  pop=100
# p=10 gen  2: best_d64=0.8003403031  pop=100
# p=10 gen  3: best_d64=0.8003403031  pop=100
# p=10 gen  4: best_d64=0.8003403031  pop=100
# p=10 gen  5: best_d64=0.8003403032  pop=100
# p=10 gen  5: best_d64=0.8003403032  pop=-1
5,8,10,0.800340303158,19035,104110.6,2.9394735923877406;3.4544068479145986;5.9596530257370794;5.958807035378012;5.960158127038248;5.959158726928203;5.952999912620104;5.937844442945271;5.901291454779732;5.849355634666332,1.3568381626392845;1.393332229351391;2.9697113151872334;2.9693808270900615;2.9683440600338455;2.9689587209643666;2.973184777759975;2.985789953329459;3.011199956564092;3.0745272676378175
